Initial Investment = INR 0 LAKHS, Rate/Month=15
Month, Final_Amount(INR),tax (INR), Zakaat(INR)
35,5.28 LAKHS,14.14 THOUSANDS,0.00
36,5.77 LAKHS,15.84 THOUSANDS,14783.89
37,6.62 LAKHS,17.74 THOUSANDS,0.00
38,7.42 LAKHS,19.87 THOUSANDS,0.00
39,8.31 LAKHS,22.25 THOUSANDS,0.00
40,9.31 LAKHS,24.92 THOUSANDS,0.00
41,10.42 LAKHS,27.92 THOUSANDS,0.00
42,11.67 LAKHS,31.27 THOUSANDS,0.00
43,13.07 LAKHS,35.02 THOUSANDS,0.00
44,14.64 LAKHS,39.22 THOUSANDS,0.00
45,16.40 LAKHS,43.93 THOUSANDS,0.00
46,18.37 LAKHS,49.20 THOUSANDS,0.00
47,20.57 LAKHS,55.10 THOUSANDS,0.00
48,22.46 LAKHS,61.71 THOUSANDS,57597.69
49,25.80 LAKHS,69.12 THOUSANDS,0.00
50,28.90 LAKHS,77.41 THOUSANDS,0.00
51,32.37 LAKHS,86.70 THOUSANDS,0.00
52,36.25 LAKHS,97.10 THOUSANDS,0.00
53,40.60 LAKHS,108.76 THOUSANDS,0.00
54,45.48 LAKHS,121.81 THOUSANDS,0.00
55,50.93 LAKHS,136.43 THOUSANDS,0.00
56,57.04 LAKHS,152.80 THOUSANDS,0.00
57,63.89 LAKHS,171.13 THOUSANDS,0.00
58,71.56 LAKHS,191.67 THOUSANDS,0.00
59,80.14 LAKHS,214.67 THOUSANDS,0.00
60,87.52 LAKHS,240.43 THOUSANDS,224399.23
61,1.01 CRORE,2.69 LAKHS,0.00
62,1.13 CRORE,3.02 LAKHS,0.00
63,1.26 CRORE,3.38 LAKHS,0.00
64,1.41 CRORE,3.78 LAKHS,0.00
65,1.58 CRORE,4.24 LAKHS,0.00
66,1.77 CRORE,4.75 LAKHS,0.00
67,1.98 CRORE,5.32 LAKHS,0.00
68,2.22 CRORE,5.95 LAKHS,0.00
69,2.49 CRORE,6.67 LAKHS,0.00
70,2.79 CRORE,7.47 LAKHS,0.00
71,3.12 CRORE,8.36 LAKHS,0.00
72,3.41 CRORE,9.37 LAKHS,874254.03
73,3.92 CRORE,10.49 LAKHS,0.00
74,4.39 CRORE,11.75 LAKHS,0.00
75,4.91 CRORE,13.16 LAKHS,0.00
76,5.50 CRORE,14.74 LAKHS,0.00
77,6.16 CRORE,16.51 LAKHS,0.00
78,6.90 CRORE,18.49 LAKHS,0.00
79,7.73 CRORE,20.71 LAKHS,0.00
80,8.66 CRORE,23.19 LAKHS,0.00
81,9.70 CRORE,25.98 LAKHS,0.00
82,10.86 CRORE,29.09 LAKHS,0.00
83,12.16 CRORE,32.58 LAKHS,0.00
84,13.28 CRORE,36.49 LAKHS,3406072.70
85,15.26 CRORE,40.87 LAKHS,0.00
86,17.09 CRORE,45.78 LAKHS,0.00
87,19.14 CRORE,51.27 LAKHS,0.00
88,21.44 CRORE,57.42 LAKHS,0.00
89,24.01 CRORE,64.31 LAKHS,0.00
90,26.89 CRORE,72.03 LAKHS,0.00
91,30.12 CRORE,80.68 LAKHS,0.00
92,33.73 CRORE,90.36 LAKHS,0.00
93,37.78 CRORE,101.20 LAKHS,0.00
94,42.31 CRORE,113.34 LAKHS,0.00
95,47.39 CRORE,126.94 LAKHS,0.00
96,51.75 CRORE,142.18 LAKHS,13269977.45
97,59.45 CRORE,159.24 LAKHS,0.00
98,66.58 CRORE,178.35 LAKHS,0.00
99,74.57 CRORE,199.75 LAKHS,0.00
100,83.52 CRORE,223.72 LAKHS,0.00
101,93.54 CRORE,250.57 LAKHS,0.00
102,104.77 CRORE,280.63 LAKHS,0.00
103,117.34 CRORE,314.31 LAKHS,0.00
104,131.42 CRORE,352.03 LAKHS,0.00
105,147.19 CRORE,394.27 LAKHS,0.00
106,164.86 CRORE,441.58 LAKHS,0.00
107,184.64 CRORE,494.57 LAKHS,0.00
108,201.63 CRORE,553.92 LAKHS,51699513.58
109,231.61 CRORE,620.39 LAKHS,0.00
110,259.41 CRORE,694.84 LAKHS,0.00
111,290.54 CRORE,778.22 LAKHS,0.00
112,325.40 CRORE,871.61 LAKHS,0.00
113,364.45 CRORE,976.20 LAKHS,0.00
114,408.18 CRORE,1093.35 LAKHS,0.00
115,457.16 CRORE,1224.55 LAKHS,0.00
116,512.02 CRORE,1371.49 LAKHS,0.00
117,573.47 CRORE,1536.07 LAKHS,0.00
118,642.28 CRORE,1720.40 LAKHS,0.00
119,719.36 CRORE,1926.85 LAKHS,0.00
120,785.54 CRORE,2158.07 LAKHS,201420063.75
